Date	Copper
28-Nov-18	2.796
27-Nov-18	2.7105
26-Nov-18	2.7585
23-Nov-18	2.7705
21-Nov-18	2.7945
20-Nov-18	2.7665
19-Nov-18	2.8045
16-Nov-18	2.804
15-Nov-18	2.749
14-Nov-18	2.7095
13-Nov-18	2.687
12-Nov-18	2.678
09-Nov-18	2.6865
08-Nov-18	2.737
07-Nov-18	2.7525
06-Nov-18	2.7305
05-Nov-18	2.7555
02-Nov-18	2.803
01-Nov-18	2.7215
31-Oct-18	2.6635
30-Oct-18	2.663
29-Oct-18	2.7385
26-Oct-18	2.744
25-Oct-18	2.7485
24-Oct-18	2.7465
23-Oct-18	2.747
22-Oct-18	2.774
19-Oct-18	2.768
18-Oct-18	2.7375
17-Oct-18	2.767
16-Oct-18	2.7705
15-Oct-18	2.7805
12-Oct-18	2.793
11-Oct-18	2.797
10-Oct-18	2.769
09-Oct-18	2.795
08-Oct-18	2.755
05-Oct-18	2.751
04-Oct-18	2.765
03-Oct-18	2.8225
02-Oct-18	2.795
01-Oct-18	2.774
28-Sep-18	2.787
27-Sep-18	2.7645
26-Sep-18	2.807
25-Sep-18	2.8035
24-Sep-18	2.816
21-Sep-18	2.8365
20-Sep-18	2.721
19-Sep-18	2.71
18-Sep-18	2.712
17-Sep-18	2.6335
14-Sep-18	2.6275
13-Sep-18	2.6645
12-Sep-18	2.6585
11-Sep-18	2.604
10-Sep-18	2.6105
07-Sep-18	2.6035
06-Sep-18	2.6185
05-Sep-18	2.5925
04-Sep-18	2.5835
31-Aug-18	2.649
30-Aug-18	2.6905
29-Aug-18	2.709
28-Aug-18	2.734
27-Aug-18	2.705
24-Aug-18	2.699
23-Aug-18	2.6525
22-Aug-18	2.6685
21-Aug-18	2.6895
20-Aug-18	2.6635
17-Aug-18	2.6245
16-Aug-18	2.6135
15-Aug-18	2.557
14-Aug-18	2.6755
13-Aug-18	2.722
10-Aug-18	2.7325
09-Aug-18	2.7555
08-Aug-18	2.7405
07-Aug-18	2.741
06-Aug-18	2.721
03-Aug-18	2.7535
02-Aug-18	2.727
01-Aug-18	2.735
31-Jul-18	2.819
30-Jul-18	2.779
27-Jul-18	2.7875
26-Jul-18	2.804
25-Jul-18	2.806
24-Jul-18	2.8
23-Jul-18	2.737
20-Jul-18	2.746
19-Jul-18	2.686
18-Jul-18	2.752
17-Jul-18	2.7395
16-Jul-18	2.757
13-Jul-18	2.77
12-Jul-18	2.768
11-Jul-18	2.7335
10-Jul-18	2.8285
09-Jul-18	2.839
06-Jul-18	2.813
05-Jul-18	2.814
03-Jul-18	2.906
02-Jul-18	2.9315
29-Jun-18	2.951
28-Jun-18	2.9535
27-Jun-18	2.9895
26-Jun-18	2.997
25-Jun-18	2.992
22-Jun-18	3.0325
21-Jun-18	3.025
20-Jun-18	3.0465
19-Jun-18	3.0465
18-Jun-18	3.1035
15-Jun-18	3.141
14-Jun-18	3.2165
13-Jun-18	3.248
12-Jun-18	3.2425
11-Jun-18	3.2505
08-Jun-18	3.293
07-Jun-18	3.268
06-Jun-18	3.2545
05-Jun-18	3.191
04-Jun-18	3.1265
01-Jun-18	3.0915
31-May-18	3.058
30-May-18	3.0595
29-May-18	3.052
25-May-18	3.067
24-May-18	3.0855
23-May-18	3.0605
22-May-18	3.119
21-May-18	3.0855
18-May-18	3.051
17-May-18	3.077
16-May-18	3.0585
15-May-18	3.0425
14-May-18	3.0785
11-May-18	3.095
10-May-18	3.0925
09-May-18	3.0395
08-May-18	3.0405
07-May-18	3.0595
04-May-18	3.0655
03-May-18	3.059
02-May-18	3.0475
01-May-18	3.015
30-Apr-18	3.0525
27-Apr-18	3.046
26-Apr-18	3.113
25-Apr-18	3.132
24-Apr-18	3.1385
23-Apr-18	3.108
20-Apr-18	3.1315
19-Apr-18	3.128
18-Apr-18	3.1535
17-Apr-18	3.075
16-Apr-18	3.0915
13-Apr-18	3.0675
12-Apr-18	3.06
11-Apr-18	3.112
10-Apr-18	3.131
09-Apr-18	3.0715
06-Apr-18	3.054
05-Apr-18	3.0695
04-Apr-18	3.007
03-Apr-18	3.058
02-Apr-18	3.0405
29-Mar-18	3.019
28-Mar-18	2.994
27-Mar-18	2.9915
26-Mar-18	2.9605
23-Mar-18	2.9845
22-Mar-18	3.012
21-Mar-18	3.0485
20-Mar-18	3.0255
19-Mar-18	3.0695
16-Mar-18	3.093
15-Mar-18	3.111
14-Mar-18	3.14
13-Mar-18	3.119
12-Mar-18	3.104
09-Mar-18	3.116
08-Mar-18	3.0585
07-Mar-18	3.114
06-Mar-18	3.137
05-Mar-18	3.1055
02-Mar-18	3.101
01-Mar-18	3.0995
28-Feb-18	3.1075
27-Feb-18	3.1575
26-Feb-18	3.196
23-Feb-18	3.2085
22-Feb-18	3.2375
21-Feb-18	3.2115
20-Feb-18	3.186
16-Feb-18	3.243
15-Feb-18	3.239
14-Feb-18	3.2285
13-Feb-18	3.1545
12-Feb-18	3.0775
09-Feb-18	3.0245
08-Feb-18	3.072
07-Feb-18	3.0765
06-Feb-18	3.1775
05-Feb-18	3.2105
02-Feb-18	3.1765
01-Feb-18	3.197
31-Jan-18	3.184
30-Jan-18	3.177
29-Jan-18	3.178
26-Jan-18	3.1825
25-Jan-18	3.199
24-Jan-18	3.2085
23-Jan-18	3.0895
22-Jan-18	3.1775
19-Jan-18	3.167
18-Jan-18	3.177
17-Jan-18	3.1665
16-Jan-18	3.199
12-Jan-18	3.2
11-Jan-18	3.2135
10-Jan-18	3.215
09-Jan-18	3.1945
08-Jan-18	3.201
05-Jan-18	3.207
04-Jan-18	3.2425
03-Jan-18	3.237
02-Jan-18	3.256
29-Dec-17	3.2795
28-Dec-17	3.286
27-Dec-17	3.257
26-Dec-17	3.256
22-Dec-17	3.2145
21-Dec-17	3.1945
20-Dec-17	3.1715
19-Dec-17	3.1275
18-Dec-17	3.122
15-Dec-17	3.11
14-Dec-17	3.0485
13-Dec-17	3.0295
12-Dec-17	2.9995
11-Dec-17	2.988
08-Dec-17	2.955
07-Dec-17	2.9405
06-Dec-17	2.9365
05-Dec-17	2.9205
04-Dec-17	3.063
01-Dec-17	3.0655
30-Nov-17	3.037
29-Nov-17	3.04
28-Nov-17	3.0705
27-Nov-17	3.1325
24-Nov-17	3.166
22-Nov-17	3.1345
21-Nov-17	3.1255
20-Nov-17	3.0905
17-Nov-17	3.0625
