Date	Gold
28-Nov-18	1221.4
27-Nov-18	1211.2
26-Nov-18	1220.2
23-Nov-18	1221
21-Nov-18	1225.8
20-Nov-18	1219
19-Nov-18	1223.1
16-Nov-18	1220.8
15-Nov-18	1212.8
14-Nov-18	1207.9
13-Nov-18	1199.2
12-Nov-18	1201.3
09-Nov-18	1206.4
08-Nov-18	1222.9
07-Nov-18	1226.2
06-Nov-18	1223.8
05-Nov-18	1229.8
02-Nov-18	1230.9
01-Nov-18	1236
31-Oct-18	1212.3
30-Oct-18	1222.6
29-Oct-18	1224.5
26-Oct-18	1232.5
25-Oct-18	1229.1
24-Oct-18	1227.8
23-Oct-18	1233.4
22-Oct-18	1221.2
19-Oct-18	1225.3
18-Oct-18	1226.5
17-Oct-18	1223.7
16-Oct-18	1227.3
15-Oct-18	1226.4
12-Oct-18	1218.1
11-Oct-18	1223.5
10-Oct-18	1189.3
09-Oct-18	1187.2
08-Oct-18	1184.4
05-Oct-18	1201.2
04-Oct-18	1197.2
03-Oct-18	1198.3
02-Oct-18	1202.4
01-Oct-18	1187.1
28-Sep-18	1191.5
27-Sep-18	1182.3
26-Sep-18	1194
25-Sep-18	1200
24-Sep-18	1199.3
21-Sep-18	1196.2
20-Sep-18	1206.2
19-Sep-18	1202.2
18-Sep-18	1196.8
17-Sep-18	1199.7
14-Sep-18	1195
13-Sep-18	1202
12-Sep-18	1204.7
11-Sep-18	1195.4
10-Sep-18	1193
07-Sep-18	1193.6
06-Sep-18	1197.9
05-Sep-18	1194.9
04-Sep-18	1192.7
31-Aug-18	1200.3
30-Aug-18	1197.7
29-Aug-18	1204.5
28-Aug-18	1207.4
27-Aug-18	1209
24-Aug-18	1206.3
23-Aug-18	1187
22-Aug-18	1196.3
21-Aug-18	1192.6
20-Aug-18	1186.8
17-Aug-18	1176.5
16-Aug-18	1176.2
15-Aug-18	1177.5
14-Aug-18	1193
13-Aug-18	1191.3
10-Aug-18	1211.1
09-Aug-18	1211.9
08-Aug-18	1212.6
07-Aug-18	1209.6
06-Aug-18	1208.6
03-Aug-18	1214.2
02-Aug-18	1210.6
01-Aug-18	1217.9
31-Jul-18	1223.7
30-Jul-18	1221.3
27-Jul-18	1222.6
26-Jul-18	1225.3
25-Jul-18	1231.4
24-Jul-18	1223.9
23-Jul-18	1224
20-Jul-18	1229.5
19-Jul-18	1222.4
18-Jul-18	1226.3
17-Jul-18	1225.7
16-Jul-18	1238.1
13-Jul-18	1239.6
12-Jul-18	1245
11-Jul-18	1242.8
10-Jul-18	1253.8
09-Jul-18	1258.1
06-Jul-18	1254.3
05-Jul-18	1257.3
03-Jul-18	1251.6
02-Jul-18	1239.8
29-Jun-18	1251.3
28-Jun-18	1247.8
27-Jun-18	1252.8
26-Jun-18	1256.6
25-Jun-18	1265.6
22-Jun-18	1267.4
21-Jun-18	1267.2
20-Jun-18	1271.2
19-Jun-18	1275.6
18-Jun-18	1276.2
15-Jun-18	1274.6
14-Jun-18	1304
13-Jun-18	1296.9
12-Jun-18	1295.1
11-Jun-18	1298.9
08-Jun-18	1298.1
07-Jun-18	1298.7
06-Jun-18	1297.1
05-Jun-18	1297.5
04-Jun-18	1293.1
01-Jun-18	1294.8
31-May-18	1300.1
30-May-18	1301.5
29-May-18	1298.7
25-May-18	1303.3
24-May-18	1303.7
23-May-18	1289.3
22-May-18	1291.7
21-May-18	1290.2
18-May-18	1290.2
17-May-18	1288.2
16-May-18	1290.2
15-May-18	1288.9
14-May-18	1316.5
11-May-18	1319
10-May-18	1320.8
09-May-18	1311.3
08-May-18	1312
07-May-18	1312.2
04-May-18	1312.7
03-May-18	1310.7
02-May-18	1302.6
01-May-18	1303.8
30-Apr-18	1316.2
27-Apr-18	1320.3
26-Apr-18	1316.3
25-Apr-18	1321.2
24-Apr-18	1331.4
23-Apr-18	1322.5
20-Apr-18	1336.7
19-Apr-18	1346.8
18-Apr-18	1351.2
17-Apr-18	1347.2
16-Apr-18	1347.5
13-Apr-18	1344.8
12-Apr-18	1338.4
11-Apr-18	1356.5
10-Apr-18	1342
09-Apr-18	1336.3
06-Apr-18	1331.9
05-Apr-18	1324.3
04-Apr-18	1335.8
03-Apr-18	1332.8
02-Apr-18	1342.1
29-Mar-18	1322.8
28-Mar-18	1324.2
27-Mar-18	1341.3
26-Mar-18	1354.4
23-Mar-18	1349.3
22-Mar-18	1326.6
21-Mar-18	1320.7
20-Mar-18	1311.1
19-Mar-18	1316.8
16-Mar-18	1311.3
15-Mar-18	1316.8
14-Mar-18	1324.4
13-Mar-18	1325.9
12-Mar-18	1319.4
09-Mar-18	1322.4
08-Mar-18	1319.9
07-Mar-18	1326
06-Mar-18	1333.6
05-Mar-18	1318.1
02-Mar-18	1321.1
01-Mar-18	1302.9
28-Feb-18	1315.5
27-Feb-18	1315.5
26-Feb-18	1330.7
23-Feb-18	1328.2
22-Feb-18	1330.6
21-Feb-18	1330
20-Feb-18	1328.8
16-Feb-18	1353.2
15-Feb-18	1352.1
14-Feb-18	1355.5
13-Feb-18	1328.1
12-Feb-18	1324.2
09-Feb-18	1313.1
08-Feb-18	1316.9
07-Feb-18	1311.6
06-Feb-18	1326.1
05-Feb-18	1333
02-Feb-18	1333.7
01-Feb-18	1344.3
31-Jan-18	1339
30-Jan-18	1335.4
29-Jan-18	1339.8
26-Jan-18	1351.6
25-Jan-18	1362.4
24-Jan-18	1355.9
23-Jan-18	1335.7
22-Jan-18	1330.9
19-Jan-18	1331.9
18-Jan-18	1326
17-Jan-18	1338
16-Jan-18	1335.4
12-Jan-18	1333.4
11-Jan-18	1320.6
10-Jan-18	1317.4
09-Jan-18	1311.7
08-Jan-18	1318.6
05-Jan-18	1320.3
04-Jan-18	1319.4
03-Jan-18	1316.2
02-Jan-18	1313.7
29-Dec-17	1306.3
28-Dec-17	1294.1
27-Dec-17	1287
26-Dec-17	1284.1
22-Dec-17	1275.4
21-Dec-17	1267.3
20-Dec-17	1266.1
19-Dec-17	1260.7
18-Dec-17	1262.2
15-Dec-17	1254.3
14-Dec-17	1253.8
13-Dec-17	1245.4
12-Dec-17	1238.5
11-Dec-17	1243.7
08-Dec-17	1245.2
07-Dec-17	1249.8
06-Dec-17	1262.8
05-Dec-17	1261.6
04-Dec-17	1274.3
01-Dec-17	1278.8
30-Nov-17	1273.2
29-Nov-17	1282.1
28-Nov-17	1294.7
27-Nov-17	1293.8
24-Nov-17	1286.7
22-Nov-17	1291.6
21-Nov-17	1281.1
20-Nov-17	1274.6
17-Nov-17	1295.8
16-Nov-17	1277.4
15-Nov-17	1276.5
14-Nov-17	1281.5
13-Nov-17	1277.3
10-Nov-17	1272.4
09-Nov-17	1285.6
08-Nov-17	1281.6
07-Nov-17	1273.7
06-Nov-17	1279.4
03-Nov-17	1266.5
02-Nov-17	1274.9
01-Nov-17	1274.1
31-Oct-17	1267
30-Oct-17	1274.1
27-Oct-17	1268.5
26-Oct-17	1266.3
25-Oct-17	1275.4
24-Oct-17	1275
23-Oct-17	1277.7
20-Oct-17	1277.4
19-Oct-17	1286.9
18-Oct-17	1279.9
17-Oct-17	1283
16-Oct-17	1299.9
13-Oct-17	1301.5
12-Oct-17	1293.3
11-Oct-17	1285.8
10-Oct-17	1290.6
09-Oct-17	1281.8
06-Oct-17	1271.6
05-Oct-17	1269.9
04-Oct-17	1273.7
03-Oct-17	1271.5
02-Oct-17	1272.7
29-Sep-17	1281.5
28-Sep-17	1285.5
27-Sep-17	1283.4
26-Sep-17	1297
25-Sep-17	1306.8
22-Sep-17	1293.3
21-Sep-17	1290.6
20-Sep-17	1312
19-Sep-17	1306.2
18-Sep-17	1306.3
15-Sep-17	1320.4
14-Sep-17	1323.4
13-Sep-17	1323.4
12-Sep-17	1328
11-Sep-17	1331
08-Sep-17	1346
07-Sep-17	1345.1
06-Sep-17	1333.9
05-Sep-17	1339.2
01-Sep-17	1324.5
31-Aug-17	1308.1
30-Aug-17	1308.1
29-Aug-17	1313.1
28-Aug-17	1309.7
25-Aug-17	1292.5
24-Aug-17	1286.6
23-Aug-17	1288.9
22-Aug-17	1285.1
21-Aug-17	1290.8
18-Aug-17	1285.7
17-Aug-17	1286.4
16-Aug-17	1276.9
15-Aug-17	1273.7
14-Aug-17	1284.2
11-Aug-17	1287.7
10-Aug-17	1283.7
09-Aug-17	1273
08-Aug-17	1256.4
07-Aug-17	1258.2
04-Aug-17	1258.3
03-Aug-17	1267.8
02-Aug-17	1271.8
01-Aug-17	1272.6
31-Jul-17	1266.6
28-Jul-17	1268.4
27-Jul-17	1259.6
26-Jul-17	1249
25-Jul-17	1251.7
24-Jul-17	1253.9
21-Jul-17	1254.3
20-Jul-17	1244.8
19-Jul-17	1241.2
18-Jul-17	1241.1
17-Jul-17	1232.8
14-Jul-17	1226.6
13-Jul-17	1216.3
12-Jul-17	1218.1
11-Jul-17	1213.6
10-Jul-17	1212.1
07-Jul-17	1208.6
06-Jul-17	1222.2
05-Jul-17	1220.4
03-Jul-17	1217.9
30-Jun-17	1240.7
29-Jun-17	1244.2
28-Jun-17	1248
27-Jun-17	1246.4
26-Jun-17	1246.3
23-Jun-17	1256.2
22-Jun-17	1247.6
21-Jun-17	1243.4
20-Jun-17	1241
19-Jun-17	1244.2
16-Jun-17	1254
15-Jun-17	1252.2
14-Jun-17	1272.8
13-Jun-17	1265.8
12-Jun-17	1266.1
