Date,Nickel
28-Nov-18,10735
27-Nov-18,10710
26-Nov-18,10770
23-Nov-18,10710
22-Nov-18,10970
21-Nov-18,11085
20-Nov-18,11190
19-Nov-18,11200
16-Nov-18,11280
15-Nov-18,11340
14-Nov-18,11225
13-Nov-18,11370
12-Nov-18,11290
09-Nov-18,11470
08-Nov-18,11615
07-Nov-18,11670
06-Nov-18,11820
05-Nov-18,11680
02-Nov-18,11980
01-Nov-18,11555
31-Oct-18,11625
30-Oct-18,11700
29-Oct-18,11725
26-Oct-18,11835
25-Oct-18,12135
24-Oct-18,12295
23-Oct-18,12330
22-Oct-18,12455
19-Oct-18,12470
18-Oct-18,12140
17-Oct-18,12440
16-Oct-18,12450
15-Oct-18,12650
12-Oct-18,12710
11-Oct-18,12420
10-Oct-18,12775
09-Oct-18,12660
08-Oct-18,12395
05-Oct-18,12400
04-Oct-18,12770
03-Oct-18,12400
02-Oct-18,12420
01-Oct-18,12325
28-Sep-18,12480
27-Sep-18,12620
26-Sep-18,12895
25-Sep-18,12845
24-Sep-18,12980
21-Sep-18,12955
20-Sep-18,12530
19-Sep-18,12470
18-Sep-18,12320
17-Sep-18,12235
14-Sep-18,12515
13-Sep-18,12615
12-Sep-18,12285
11-Sep-18,12255
10-Sep-18,12205
07-Sep-18,12290
06-Sep-18,12490
05-Sep-18,12415
04-Sep-18,12475
03-Sep-18,12670
31-Aug-18,13010
30-Aug-18,13290
29-Aug-18,13415
28-Aug-18,13460
24-Aug-18,13310
23-Aug-18,13140
22-Aug-18,13570
21-Aug-18,13680
20-Aug-18,13560
17-Aug-18,13240
16-Aug-18,13115
15-Aug-18,12985
14-Aug-18,13345
13-Aug-18,13680
10-Aug-18,13635
09-Aug-18,14060
08-Aug-18,13920
07-Aug-18,13750
06-Aug-18,13225
03-Aug-18,13130
02-Aug-18,13225
01-Aug-18,13780
31-Jul-18,13770
30-Jul-18,13700
27-Jul-18,13720
26-Jul-18,13575
25-Jul-18,13535
24-Jul-18,13435
23-Jul-18,13440
20-Jul-18,13425
19-Jul-18,13220
18-Jul-18,13315
17-Jul-18,13460
16-Jul-18,13680
13-Jul-18,13870
12-Jul-18,14055
11-Jul-18,13630
10-Jul-18,13960
09-Jul-18,13970
06-Jul-18,13760
05-Jul-18,14170
04-Jul-18,14100
03-Jul-18,14620
02-Jul-18,14575
29-Jun-18,14910
28-Jun-18,14720
27-Jun-18,14700
26-Jun-18,14570
25-Jun-18,15060
